Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
22,111.000,9.024,0.491,0.975,1.218,17.625,20.324,21.371,46.348,64.056,0.111
23,102.000,9.863,0.686,0.950,11.659,19.022,21.346,25.958,28.346,36.100,0.101
24,96.000,10.387,0.706,1.002,11.519,19.016,27.863,29.155,35.987,35.987,0.096
25,92.000,10.824,0.707,0.956,1.002,19.037,25.017,36.805,56.074,56.074,0.092
26,92.000,10.877,0.684,0.873,0.988,19.041,27.694,33.550,69.020,69.020,0.092
27,104.000,9.620,0.670,0.969,11.545,19.024,21.351,27.659,28.866,29.822,0.104
28,111.000,9.049,0.718,0.951,1.006,17.190,20.237,28.529,36.018,39.846,0.111
29,90.000,11.119,0.487,0.891,7.642,18.976,20.835,28.528,99.174,99.174,0.090
30,113.000,8.700,0.445,0.593,11.209,13.085,19.894,21.480,28.524,29.658,0.115
31,119.000,8.426,0.462,0.519,11.208,16.450,20.169,20.673,21.225,29.144,0.119
32,107.000,9.340,0.465,0.533,11.209,18.922,20.561,21.757,36.092,37.984,0.107
33,100.000,9.951,0.481,0.794,1.517,17.112,24.999,33.793,69.501,69.501,0.100
34,93.000,10.755,0.667,0.978,11.713,18.974,21.310,24.689,29.825,29.825,0.093
35,115.000,8.785,0.469,0.755,0.974,19.143,20.272,26.491,28.670,30.137,0.114
36,112.000,8.814,0.447,0.545,0.790,17.136,21.325,27.845,36.670,37.839,0.113
37,131.000,7.737,0.449,0.563,0.746,13.080,19.426,20.653,27.352,27.827,0.129
38,111.000,8.996,0.453,0.629,11.685,17.575,20.176,20.701,21.354,27.052,0.111
39,117.000,8.535,0.458,0.574,11.182,18.186,19.901,20.615,28.849,29.010,0.117
40,103.000,9.726,0.453,0.524,1.315,18.991,21.318,30.382,38.207,62.830,0.103
41,108.000,9.177,0.441,0.630,11.674,13.030,20.535,20.836,29.573,46.302,0.109
42,102.000,9.774,0.447,0.645,11.685,13.019,20.533,21.345,29.751,37.580,0.102
43,111.000,8.918,0.445,0.557,11.102,13.019,20.681,27.180,29.630,38.167,0.112
44,115.000,8.858,0.440,0.534,0.744,18.110,20.755,28.288,29.807,37.898,0.113
45,126.000,7.847,0.450,0.558,0.772,13.046,19.324,20.159,24.778,28.497,0.127
46,108.000,9.306,0.443,0.469,11.572,16.710,20.332,21.392,53.039,66.355,0.107
47,107.000,9.202,0.450,0.641,11.715,13.039,20.164,20.782,29.001,29.029,0.109
48,113.000,8.955,0.447,0.509,2.305,17.029,20.975,27.813,34.016,35.618,0.112
49,109.000,9.312,0.457,0.616,1.005,19.072,21.372,27.856,36.444,38.118,0.107
50,106.000,9.186,0.474,0.706,0.994,18.444,21.306,21.934,36.086,37.388,0.109
51,116.000,8.601,0.481,0.793,0.953,18.653,21.375,28.175,38.498,45.249,0.116
52,109.000,9.291,0.449,0.676,0.797,18.506,20.816,27.030,36.630,37.331,0.108
53,115.000,8.576,0.462,0.534,0.822,13.046,19.310,20.683,52.598,58.532,0.117
54,121.000,8.205,0.458,0.650,0.793,17.872,20.162,20.690,23.263,29.014,0.122
55,117.000,8.555,0.467,0.614,11.683,13.012,19.580,20.418,29.210,36.031,0.117
56,106.000,9.744,0.457,0.499,11.205,13.062,21.500,29.679,36.731,45.154,0.103
57,110.000,9.030,0.451,0.623,10.208,17.286,20.838,26.802,30.191,37.229,0.111
58,114.000,8.729,0.452,0.549,0.850,18.403,20.561,25.880,28.962,29.662,0.115
59,92.000,10.421,0.497,0.629,0.862,19.622,27.392,36.985,61.073,61.073,0.096
