Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
20,122.000,8.220,0.619,0.855,0.993,18.125,19.726,20.600,25.043,25.967,0.122
21,105.000,9.549,0.659,0.959,11.721,18.066,20.293,20.487,21.350,28.864,0.105
22,108.000,9.126,0.604,0.946,11.702,17.563,19.225,20.585,21.336,28.764,0.110
23,132.000,7.577,0.422,0.574,0.845,13.035,19.028,19.456,21.391,28.692,0.132
24,108.000,9.259,0.442,0.654,11.683,13.030,19.948,20.456,51.912,52.099,0.108
25,114.000,8.801,0.594,0.819,11.697,13.074,19.372,20.332,20.749,27.555,0.114
26,129.000,7.827,0.567,0.846,0.977,13.075,19.233,20.116,20.487,20.623,0.128
27,140.000,7.077,0.596,0.814,0.978,13.048,18.440,19.381,20.727,28.186,0.141
28,134.000,7.410,0.371,0.743,0.972,13.044,19.109,20.400,20.700,20.715,0.135
29,110.000,9.339,0.599,0.893,11.669,18.752,20.176,20.635,24.697,54.104,0.107
30,107.000,9.165,0.454,0.912,11.687,13.037,19.297,20.338,27.693,55.844,0.109
31,114.000,8.798,0.607,0.890,11.679,18.260,20.149,20.367,21.300,21.323,0.114
32,109.000,9.097,0.400,0.839,11.670,18.551,20.348,20.602,21.340,21.369,0.110
33,117.000,8.581,0.584,0.701,11.698,14.894,19.397,20.664,21.371,21.384,0.117
34,131.000,7.566,0.463,0.737,0.924,15.264,19.148,20.417,22.494,22.495,0.132
35,119.000,8.455,0.400,0.671,0.934,16.741,20.015,20.625,27.302,40.882,0.118
36,133.000,7.449,0.444,0.458,0.643,12.461,19.416,20.004,30.746,62.508,0.134
37,144.000,7.051,0.389,0.471,0.707,12.992,18.689,19.504,20.811,21.323,0.142
38,132.000,7.544,0.439,0.460,0.756,12.989,18.697,19.933,20.774,29.089,0.133
39,136.000,7.344,0.425,0.518,0.786,13.012,18.814,19.995,20.430,23.211,0.136
40,128.000,7.816,0.439,0.482,11.217,12.564,18.770,20.159,21.376,23.197,0.128
41,126.000,7.838,0.404,0.459,11.111,12.612,18.668,19.543,48.735,53.079,0.128
42,119.000,8.453,0.438,0.469,11.212,13.038,19.327,20.400,49.688,52.707,0.118
43,132.000,7.552,0.428,0.470,1.858,13.016,18.984,19.583,21.871,27.770,0.132
44,137.000,7.263,0.437,0.474,0.723,12.583,19.064,20.012,21.306,22.687,0.138
45,119.000,8.463,0.441,0.548,11.677,12.993,19.308,20.319,20.836,27.995,0.118
46,127.000,7.928,0.438,0.547,11.224,12.990,18.762,20.171,20.734,20.896,0.126
47,141.000,7.028,0.439,0.462,0.812,13.018,18.812,20.449,22.339,28.345,0.142
48,109.000,9.079,0.442,0.800,11.678,13.137,19.707,20.566,49.983,51.842,0.110
49,133.000,7.621,0.584,0.732,0.845,15.404,20.167,20.589,24.746,29.088,0.131
50,133.000,7.413,0.513,0.703,0.832,13.064,19.194,19.689,20.578,20.594,0.135
51,113.000,9.005,0.579,0.807,11.671,17.992,20.111,20.611,21.359,28.784,0.111
52,125.000,7.903,0.507,0.609,10.887,13.032,19.211,19.668,20.707,22.273,0.127
53,112.000,8.877,0.528,0.744,11.672,13.020,19.338,20.488,21.355,28.871,0.113
54,108.000,9.265,0.583,0.812,11.695,16.934,20.161,20.690,29.427,57.742,0.108
55,134.000,7.558,0.444,0.643,0.856,13.037,19.206,20.557,20.742,29.738,0.132
56,117.000,8.541,0.411,0.578,11.682,13.048,19.682,20.668,21.398,22.574,0.117
57,121.000,8.213,0.423,0.490,11.263,13.015,19.386,19.854,20.863,24.288,0.122
58,133.000,7.457,0.470,0.699,0.910,13.170,19.359,20.466,21.352,27.474,0.134
59,102.000,9.600,0.486,0.805,11.702,16.791,19.773,20.713,49.791,54.817,0.104
