Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
32,133.000,7.381,0.398,0.476,0.955,12.967,19.027,19.961,20.343,20.397,0.135
33,113.000,8.911,0.444,0.813,11.675,16.771,19.645,20.606,29.662,41.467,0.112
34,133.000,7.530,0.401,0.496,0.950,13.019,19.139,20.580,23.579,27.522,0.133
35,135.000,7.447,0.401,0.477,0.747,12.566,18.850,19.949,46.168,56.988,0.134
36,120.000,8.294,0.404,0.485,11.245,12.999,18.812,20.309,30.642,42.639,0.121
37,136.000,7.345,0.391,0.468,10.940,12.492,18.330,20.210,21.335,21.398,0.136
38,138.000,7.194,0.392,0.474,10.637,12.485,18.379,19.926,21.330,21.865,0.139
39,128.000,7.800,0.394,0.466,11.251,12.543,18.426,19.907,21.892,22.839,0.128
40,130.000,7.768,0.403,0.467,0.748,12.975,19.267,20.440,44.411,65.792,0.129
41,137.000,7.237,0.411,0.485,1.460,12.882,18.914,19.899,20.803,20.831,0.138
42,139.000,7.146,0.402,0.454,0.754,12.992,19.064,20.320,21.003,21.322,0.140
43,122.000,8.244,0.402,0.526,11.124,13.025,19.347,20.484,32.680,38.753,0.121
44,130.000,7.686,0.455,0.507,0.765,12.999,19.962,22.202,32.630,37.989,0.130
45,126.000,7.889,0.465,0.554,1.825,13.022,19.256,20.243,20.590,28.744,0.127
46,103.000,9.739,0.451,0.888,11.642,17.584,20.340,21.304,54.213,74.223,0.103
47,107.000,9.315,0.470,0.950,11.714,18.049,20.060,20.375,21.413,28.230,0.107
48,131.000,7.686,0.445,0.769,0.970,13.060,19.149,19.525,20.694,20.963,0.130
49,122.000,8.173,0.394,0.740,0.954,16.579,20.080,20.545,24.714,28.923,0.122
50,126.000,8.022,0.444,0.826,0.969,14.906,19.113,20.364,21.351,27.549,0.125
51,116.000,8.465,0.427,0.744,11.673,13.017,19.298,20.446,23.631,25.965,0.118
52,110.000,9.137,0.480,1.005,11.624,14.362,19.124,20.322,29.622,86.740,0.109
53,121.000,8.196,0.481,0.892,1.028,18.057,19.085,19.641,20.530,21.262,0.122
54,109.000,9.266,0.466,0.898,11.715,17.330,19.991,20.408,25.123,27.428,0.108
55,116.000,8.538,0.469,0.960,11.691,15.071,19.328,20.296,20.552,22.096,0.117
56,120.000,8.403,0.472,0.869,11.691,13.048,19.190,20.344,20.835,21.351,0.119
57,104.000,9.569,0.393,0.760,11.690,18.824,20.099,20.466,28.748,69.629,0.105
58,106.000,9.470,0.450,0.806,11.680,13.019,19.275,20.396,49.420,54.224,0.106
59,115.000,8.558,0.373,0.828,11.678,13.008,19.512,20.560,21.352,23.836,0.117
