Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
44,115.000,8.717,0.633,0.857,0.985,18.009,20.635,20.812,22.983,77.313,0.115
45,107.000,9.270,0.632,0.945,11.935,13.334,20.675,20.750,22.173,23.250,0.108
46,95.000,10.609,0.640,0.925,11.939,18.837,20.715,27.778,57.547,57.547,0.094
47,119.000,8.476,0.621,0.801,0.948,18.358,20.235,20.660,20.899,28.731,0.118
48,97.000,10.122,0.634,0.926,11.908,19.258,20.631,21.675,37.416,37.416,0.099
49,105.000,9.542,0.399,0.926,12.007,17.815,19.664,20.784,21.647,21.661,0.105
50,107.000,9.328,0.622,0.941,11.987,18.703,20.497,20.678,20.980,21.608,0.107
51,117.000,8.613,0.480,0.608,11.424,13.324,19.864,20.807,29.027,30.087,0.116
52,100.000,9.961,0.456,0.623,11.447,19.210,20.763,22.778,56.028,56.028,0.100
53,113.000,8.820,0.463,0.692,11.385,14.802,20.237,20.827,35.276,46.297,0.113
54,128.000,7.806,0.418,0.480,0.755,13.247,19.732,20.242,20.811,21.586,0.128
55,119.000,8.505,0.396,0.476,11.893,13.308,19.942,20.429,22.004,25.891,0.118
56,115.000,8.683,0.417,0.479,11.969,13.322,20.625,20.880,28.281,29.945,0.115
57,118.000,8.330,0.424,0.492,11.964,13.308,19.338,19.667,21.646,28.685,0.120
58,119.000,8.433,0.440,0.485,0.752,13.306,19.963,21.168,49.960,54.165,0.119
59,114.000,8.594,0.425,0.557,0.763,17.463,20.189,21.697,29.301,29.701,0.116
