Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
42,104.000,9.439,0.395,0.645,0.779,19.250,21.456,26.414,34.201,51.819,0.106
43,112.000,9.041,0.440,0.692,10.501,19.014,20.363,21.343,28.953,29.039,0.111
44,117.000,8.522,0.441,0.507,11.220,13.052,20.128,20.619,27.504,28.544,0.117
45,108.000,9.305,0.467,0.694,11.693,17.749,20.168,20.639,27.216,27.984,0.107
46,132.000,7.491,0.447,0.473,0.730,13.018,19.081,20.087,21.485,27.171,0.134
47,86.000,11.559,0.441,0.530,11.676,19.666,27.706,28.363,54.568,54.568,0.087
48,125.000,8.035,0.434,0.460,0.700,12.988,20.433,27.513,28.851,29.107,0.124
49,111.000,9.099,0.437,0.540,0.717,18.460,20.890,27.634,37.187,44.830,0.110
50,99.000,9.993,0.448,0.611,11.660,18.944,21.450,28.479,37.469,37.469,0.100
51,115.000,8.614,0.432,0.462,11.223,14.851,20.454,21.384,28.340,28.816,0.116
52,134.000,7.477,0.443,0.544,4.947,12.991,18.792,20.143,26.694,28.291,0.134
53,105.000,9.522,0.442,0.625,2.966,15.843,20.183,27.780,53.875,70.394,0.105
54,122.000,8.191,0.582,0.731,0.910,16.829,19.429,20.496,31.073,39.778,0.122
55,110.000,9.068,0.450,0.730,1.021,17.733,21.308,27.266,38.047,42.833,0.110
56,104.000,9.596,0.448,0.487,11.188,17.991,21.687,29.654,36.762,36.993,0.104
57,137.000,7.414,0.447,0.463,0.661,12.520,19.686,20.538,33.420,37.202,0.135
58,112.000,8.882,0.405,0.473,11.083,17.531,20.634,25.294,29.671,51.397,0.113
59,115.000,8.494,0.442,0.540,11.569,13.044,19.915,20.733,28.797,28.998,0.118
