Time,Throughput,Average Latency,Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
20,121.000,8.270,0.442,0.484,0.672,13.234,20.357,20.961,29.498,37.387,0.121
21,128.000,7.882,0.450,0.524,3.115,13.326,19.668,20.669,21.008,21.144,0.127
22,132.000,7.495,0.444,0.503,1.545,13.286,19.303,20.538,21.174,27.393,0.133
23,101.000,9.916,0.426,0.853,11.984,13.308,20.405,20.811,26.118,27.071,0.101
24,96.000,10.408,0.604,0.837,11.892,18.825,21.406,27.913,64.611,64.611,0.096
25,108.000,9.306,0.588,0.712,11.909,18.467,20.925,21.691,28.072,29.181,0.107
26,106.000,9.498,0.456,0.831,11.873,18.714,20.687,27.532,29.857,31.130,0.105
27,105.000,9.326,0.453,0.806,11.371,17.718,20.720,26.338,29.877,52.329,0.107
28,116.000,8.699,0.547,0.828,0.934,17.807,19.536,22.130,29.205,39.609,0.115
29,90.000,11.004,0.456,0.907,12.024,18.156,20.408,20.779,123.960,123.960,0.091
30,122.000,8.299,0.439,0.725,0.969,15.366,20.678,21.686,28.710,29.265,0.120
31,121.000,8.151,0.442,0.533,0.754,13.212,19.488,20.882,48.974,63.592,0.123
32,120.000,8.365,0.435,0.592,2.288,13.265,20.282,21.535,29.164,35.498,0.120
33,118.000,8.474,0.446,0.589,0.804,17.211,20.366,21.628,28.451,30.067,0.118
34,106.000,9.448,0.460,0.714,11.982,15.161,20.172,20.953,29.599,45.639,0.106
35,125.000,7.979,0.428,0.564,0.804,13.337,19.571,20.330,20.924,20.983,0.125
36,117.000,8.495,0.447,0.655,11.465,13.335,19.731,20.448,20.734,22.364,0.118
37,96.000,10.493,0.444,0.533,0.787,18.607,28.269,36.019,77.166,77.166,0.095
38,118.000,8.463,0.440,0.528,11.438,13.243,19.521,21.880,27.910,28.505,0.118
39,118.000,8.487,0.442,0.601,0.778,17.754,20.560,27.966,36.004,37.158,0.118
40,95.000,10.400,0.428,0.560,11.695,17.119,21.956,28.615,45.585,45.585,0.096
41,129.000,7.806,0.440,0.511,11.160,13.004,19.242,20.272,28.373,28.877,0.128
42,120.000,8.421,0.433,0.528,11.692,13.055,19.465,20.461,22.339,28.316,0.119
43,107.000,9.257,0.465,0.832,0.996,17.128,20.430,27.298,44.826,60.444,0.108
44,107.000,9.336,0.448,0.899,11.619,18.991,20.146,20.639,28.000,28.915,0.107
45,100.000,9.985,0.620,0.811,1.122,19.250,27.583,28.756,38.001,38.001,0.100
46,107.000,9.376,0.432,0.540,0.791,18.516,21.351,28.820,35.273,64.639,0.107
47,95.000,10.509,0.445,0.709,11.086,18.610,27.632,32.444,86.005,86.005,0.095
48,100.000,9.967,0.441,0.767,0.981,19.059,21.165,28.585,87.349,87.349,0.100
49,105.000,9.563,0.600,0.896,11.693,17.153,20.176,20.476,36.288,37.957,0.105
50,106.000,9.306,0.624,0.796,2.920,18.046,20.432,21.374,28.767,71.245,0.107
51,124.000,8.069,0.540,0.837,0.960,14.760,19.172,20.450,27.560,29.300,0.124
52,102.000,9.878,0.603,0.851,11.692,19.051,20.566,21.352,28.029,31.618,0.101
53,91.000,10.919,0.619,0.808,11.666,19.137,25.545,29.159,46.419,46.419,0.092
54,93.000,10.832,0.621,0.865,10.521,19.452,27.754,36.896,51.208,51.208,0.092
55,96.000,10.333,0.630,0.842,11.512,19.486,23.322,28.475,44.591,44.591,0.097
56,107.000,9.525,0.596,0.809,1.145,18.910,26.851,28.747,36.465,37.209,0.105
57,104.000,9.431,0.617,0.816,0.890,18.344,23.772,29.589,47.807,54.106,0.106
58,115.000,8.763,0.713,1.062,1.163,18.012,20.171,20.405,26.033,36.029,0.114
59,103.000,9.396,0.696,0.859,11.682,18.278,20.492,20.609,27.450,28.851,0.106
