Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
20,90.000,11.033,0.709,0.856,11.693,19.177,27.821,36.411,44.928,44.928,0.091
21,116.000,8.626,0.832,0.972,11.627,17.509,19.376,20.303,21.397,21.444,0.116
22,122.000,8.179,0.719,0.922,1.049,18.429,20.367,21.350,27.367,27.431,0.122
23,115.000,8.678,0.637,0.859,3.752,17.608,20.187,21.205,26.583,26.593,0.115
24,123.000,8.191,0.460,0.757,0.980,18.178,20.222,20.626,21.389,24.002,0.122
25,96.000,10.374,0.409,0.749,1.011,19.276,27.452,34.136,57.451,57.451,0.096
26,97.000,10.398,0.686,0.821,11.531,18.923,27.988,29.466,35.365,35.365,0.096
27,97.000,10.128,0.679,0.806,11.694,19.191,20.617,27.758,36.096,36.096,0.099
28,108.000,9.338,0.454,0.635,1.607,19.063,21.474,28.160,39.384,46.873,0.107
29,94.000,10.710,0.443,0.745,11.697,18.462,20.144,22.218,98.487,98.487,0.093
30,102.000,9.752,0.452,0.944,11.726,18.501,20.733,21.830,25.629,27.994,0.103
31,138.000,7.342,0.431,0.613,0.744,13.093,20.053,21.473,28.994,29.106,0.136
32,129.000,7.545,0.433,0.489,0.729,12.922,19.640,20.484,27.846,74.130,0.133
33,106.000,9.623,0.434,0.604,11.391,19.071,21.360,24.742,29.651,44.232,0.104
34,113.000,8.778,0.442,0.598,0.782,13.048,20.715,27.735,30.125,36.469,0.114
35,110.000,9.173,0.431,0.514,0.774,17.369,20.731,27.773,37.152,46.478,0.109
36,114.000,8.705,0.415,0.610,10.681,13.017,21.459,27.029,28.841,29.571,0.115
37,126.000,7.919,0.436,0.498,0.784,13.043,19.746,20.749,27.281,27.729,0.126
38,101.000,9.851,0.441,0.598,11.706,16.861,20.171,20.887,54.446,58.072,0.102
39,120.000,8.302,0.410,0.720,0.786,16.834,19.968,20.743,29.208,37.436,0.120
40,121.000,8.304,0.440,0.652,0.785,16.553,19.906,20.654,29.536,34.105,0.120
41,109.000,9.186,0.467,0.616,0.881,17.655,21.324,28.773,35.920,52.437,0.109
42,113.000,8.907,0.464,0.692,0.872,18.776,20.522,27.944,37.127,38.032,0.112
43,90.000,10.931,0.460,0.675,11.680,19.628,21.500,30.185,48.107,48.107,0.091
44,112.000,8.964,0.440,0.644,11.190,18.453,20.527,21.355,27.149,35.224,0.112
45,102.000,9.769,0.444,0.728,11.709,18.530,20.171,21.399,31.247,63.035,0.102
46,97.000,10.322,0.640,0.838,11.736,18.581,20.489,20.649,28.968,28.968,0.097
47,110.000,9.134,0.619,0.832,11.720,17.670,19.937,20.591,27.549,28.910,0.109
48,109.000,9.022,0.679,0.809,1.391,18.529,20.429,21.365,28.498,29.709,0.111
49,97.000,10.435,0.453,0.739,11.681,19.161,23.356,28.128,46.381,46.381,0.096
50,107.000,9.285,0.626,0.726,11.149,18.072,21.324,27.904,29.181,29.241,0.108
51,93.000,10.671,0.674,0.814,11.659,19.173,27.469,29.653,39.201,39.201,0.094
52,103.000,9.898,0.617,0.700,0.971,19.004,26.830,28.458,53.079,75.578,0.101
53,101.000,9.826,0.552,0.715,11.604,19.215,21.343,28.032,29.050,30.183,0.102
54,120.000,8.250,0.630,0.729,0.967,16.263,20.231,21.386,28.224,29.757,0.121
55,108.000,9.276,0.559,0.720,0.977,18.630,20.593,26.693,30.571,36.841,0.108
56,117.000,8.469,0.651,0.732,0.960,17.810,19.585,20.668,27.775,28.320,0.118
57,91.000,11.216,0.680,0.789,11.745,19.340,21.378,27.594,38.128,38.128,0.089
58,71.000,13.795,0.683,0.955,12.554,20.071,28.689,33.960,59.021,59.021,0.072
59,87.000,11.230,0.485,0.743,11.722,19.304,20.999,28.862,37.207,37.207,0.089
